127.0.0.1 - - [15/Oct/2018:11:07:19 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/sample/ex02/AddUser HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/css/bootstrap.min.css HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/jquery-ui/jquery.datetimepicker.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/js/jquery.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/jquery-ui/jquery-ui.theme.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/jquery-ui/jquery-ui.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/js/bootstrap.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/jquery-ui/jquery-ui.structure.css HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:07:23 +0800] "GET /WebSample/;jsessionid=FE83F86B7BBC0588B06EFE809EE4DE4Atheme/jquery-ui/jquery.datetimepicker.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [15/Oct/2018:15:36:57 +0800] "GET /WebSample/test.html HTTP/1.1" 200 746
